Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Anakapalle,531001,M,3,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Anakapalle,531002,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Anakapalle,531002,M,32,0,1,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Anakapalle,531031,F,0,0,1,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Anakapalle,531031,F,1,2,0,0,2
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Anakapalle,531031,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Anakapalle,531032,F,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Anakapalle,531032,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Butchayyapeta,531026,M,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Gajuwaka,530026,F,0,2,0,0,2
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Gajuwaka,530026,M,8,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Gajuwaka,530046,M,42,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Kasimkota,531031,F,0,4,0,0,4
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Kasimkota,531031,F,1,2,0,0,2
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Kasimkota,531031,M,0,2,0,0,2
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Kasimkota,531031,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Kasimkota,531055,F,3,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Makavarapalem,531113,F,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Munagapaka,531001,F,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Munagapaka,531001,F,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Munagapaka,531001,M,1,2,0,0,2
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Munagapaka,531001,M,2,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Paravada,530046,M,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Visakhapatnam (rural),530041,F,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Visakhapatnam (rural),530041,F,25,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Visakhapatnam (rural),530043,M,3,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Visakhapatnam (urban),530007,M,38,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Visakhapatnam (urban),530011,M,2,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Visakhapatnam (urban),530027,F,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Vizianagaram,Bobbili,535558,F,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Vizianagaram,Bobbili,535558,M,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Vizianagaram,Bobbili,535558,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Vizianagaram,Gurla,535101,M,5,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Haryana,Jhajjar,Beri,124202,M,5,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Hyderabad,Ameerpet,500018,F,2,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Karimnagar,Ramagundam,505209,F,61,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Karimnagar,Ramagundam,505209,M,69,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Karimnagar,Ramagundam,505211,M,66,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Mahabubnagar,Dharur,509125,F,2,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Mahabubnagar,Gadwal,509125,F,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Mahabubnagar,Kodair,509206,F,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Medak,Mirdoddi,502108,F,3,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Medak,Siddipet,502103,M,2,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Medak,Siddipet,502107,F,4,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Bihar,Lakhisarai,Surajgarha,811202,M,28,0,1,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Mudhol,587121,M,67,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Ballari,Sandur,583123,M,1,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Belagavi,Hukkeri,591254,F,75,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Belagavi,Parasgad,591129,F,24,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Belagavi,Raybag,591311,M,1,0,1,0,1
