
11.5837290287
CIRCLE OFFICER PIYONG,100
DEPUTY COMMISSIONER CHANGLANG,719
TechSmart India Pvt Ltd,0
District Family & Welfare Society Palwal,10
AKSH OPTIFIBRE LIMITED,2417
National Cooperative Consumers Federation of India Limited,1717
Silver Touch Technologies Ltd,331
SILVER JUBILEE MOTORS LTD.,1
Director  Woman and Child Development  Govt. of Himachal Pradesh,152
BUSINESS INFORMATION PROCESSING SERVICES,0
DC Mon,114
ADC BOLENG,31
Akshaya,49654
COMTECH INSTITUTE OFTECHNOLOGY,4882
District Family and Welfare Society Narnaul,3
Systematic & Advance Const P L,0
District IT Society Gurgaon,980
Mahamritunjay Traders,1607
UMC Technologies Pvt. Ltd,3
Jamnagar MC,1001
SARADA SYSTEMS,4947
Administration of DNH,374
District Family and Welfare Society Bhiwani,18
District Health & Family Welfare Society  Kurukshetra,20
Super Printers,9
Sant Naval Institute of Information Technology,258
Quick Data IT Services Pvt Ltd,0
JNET Technologies Pvt.Ltd,0
Radiant Haroti Industries India Ltd,296
Extra Assistant Commissioner Itanagar,351
Department of Economics Statistics  Monitoring and Evaluation DESME,263
Bhaswa Computer Science Pvt. Ltd.,2306
District Magistrate & Collector  South Tripura,185
District Family & Welfare Society Gurgaon,7
Twinstar Industries Ltd.,15850
BHAVANAGAR MC,395
SAR Technology,2
Ojus G Enterprises,254
MACRO INFOTECH PVT LTD,1
UTI TECHNOLOGY SERVICES LIMITE,0
INFRONICS SYSTEMS LTD,0
District IT Society Bhiwani,85
The NSIC ltd,0
CHIPS,13178
Utility Forms Pvt Ltd,10610
Centre for e-Governance  GOK,4220
ECIL,0
Baroda UP Gramin Bank,85
Patel Computer Education,19
RS ENTERPRISES,359
LYRA  CONSULTANCY SERVICE,2315
Jilla e-SEVA society Gir Somnath,276
MANTRA SOFTTECH (INDIA) PVTLTD,6
Binary Systems,2
DIT Lakshadweep,86
Gujarat Infotech Ltd.,6046
Asray Gram,154
State Project Director SSA  Department of Education JK,107
E-Seva Society Narmada Rajpipla,658
City Hawks Manpower Services & Consultancy,88
Karvy Computershare Private Li,19
Multiwave Innovation,0
Deputy Director of School Education,308
District Health & Family Welfare Society  Sonipat,35
District Magistrate & Collector  Gomati District,270
DC Lunglei,1062
A-Onerealtors Pvt Ltd,6518
Sarvalabh Global Foundation,5504
District Registrar Births & Deaths cum Chief Medical Officer  Sirmour,6
EAC office Tirbin,2
Intelligent Communication Sys India Ltd,0
Social Welfare Deptt. Govt of Bihar,385
Soc for Advancement of Environ Science,0
APOnline Limited,158
Sixth Dimension Project Solutions Ltd,2401
STRATEGIC OUTSOURCING SERVICE,0
E-Seva Society UID Bharuch,926
Integrated Systems & Services,0
Computer Print,1
SDO C Ralan,4
District IT Society Kaithal,83
Deputy Commissioner  Aizawl,919
District e-Seva Society Botad,268
UNITED DATA SERVICES PRIVATE LIMITED,185
TRANSACTION ANALYSTS INDIA PVT LTD,4560
CO PANGIN,16
Layman Education Society,61
IAP COMPANY Pvt. Ltd,11779
Frontech Systems Pvt Ltd,1611
BNK Capital Markets Limited,4607
SRR Infotech,3
CSC e-Governance Services India Limited,59
Maxout Infra & Arizon Infocom Consortium,0
APEX Services,1213
RBS multisolutions private limited,8667
CSC SPV,197943
Madras Security Printers Ltd,0
E-Seva Society Collector Office Tapi Vyara,237
Yash Ornaments Pvt. Ltd,2133
DARWIN SOCIETY,828
Commissioner of school   Gujarat,1758
Junagadh MC,374
Directorate of ESD,15423
District Family and Welfare Society Panipat,49
YES Bank Limited,29
DC Tuensang,1122
UP Circle  Department of Post,18
District Family & Welfare Society Mewat,28
Jilla e-SEVA Society Devbhoomi Dwarka,137
ADC Pungro,545
E Seva Society UID Kheda Nadiad,1951
Gouthami Educational Society,0
BNR UDYOG LIMITED,3
Origin ITFS Pvt Ltd,0
Jilla E-Seva Society Rajkot,541
Extra Assistant Commissioner Naharlagun,343
Ecartes Technology Pvt. Ltd,1468
Atalji Janasnehi Directorate  GOK,14683
Swiss Tech India Pvt Ltd,0
CatholicSyrian Bank,67
INDIA,7008
KarurVysya Bank,1802
M/s Highway Construction Company,3256
Indian Bank,128
Electronics Corporation of Tamil Nadu Limited,25795
District IT Society Sirsa,282
VEETECHNOLOGIES PVT. LTD,9080
Director of primary education   Gujarat,10733
District Magistrate &  Collector  Dhalai District,306
SDO Phomching,56
DC Serchhip,75
SKY KING,26
Netlink software Pvt Ltd,4815
Organisation for Development Integrated Social & Health Action  ODISHA,749
District IT Society Fatehabad,339
Clairvoyance Technologies Pvt.,0
ADDITIONAL DEPUTY COM JAIRAMPUR,13
District Family and Welfare Society Panchkula,29
ADC Tizit,51
SDO Kuhuboto,13
ADDITIONAL DEPUTY COMMISSIONER  BORDUMSA,301
ATISHAY INFOTECH PVT. LTD.,2001
Zephyr System Pvt.Ltd.,3034
CDPO Tezu ICDS,81
DDSE Daporijo,341
District Sukhmani Society Fatehgarh Sahib Punjab,442
EAC LEKANG,227
Director ICDS  Women & Child Development  Govt. of Gujarat,6073
Planning and Research Department,713
District IT Society Kurukshetra,124
SREI INFRASTRUCTURE FINANCES L,22493
Alankit Limited,11566
District IT Society Ambala,277
SoftAge Information Technology Limited,242
Kyros soft Tech Ltd,405
Amar Constructions,302
Diwakar Commercials Pvt Ltd,0
DC Peren,12
Deputy Commissioner Kolasib,532
District Registrar Births & Deaths cum Chief Medical Officer  Mandi,3
CMS Computers Ltd,59
Osiris Infotech Pvt. Ltd.,17
SRM Education And Social Welfare Society,4022
District Sukhmani Society For Citizen Services Nawanshahr Punjab,0
District IT Society Jhajjar,54
DEPUTY DIRECTOR OF SCHOOL EDUCATION SEPPA,208
Digitcom Systems Pvt. Ltd.,12
PROTEX COMPUTER PVT LTD,732
Raj Construction Co.,141
District IT Society Karnal,167
DDSE Pasighat,524
VAP INFOSOLUTIONS,3360
District Sukhmani Society Tarn Taran Punjab,1
District IT Society Mewat,698
EAC FI DA CHONGKHAM,178
Apnatech Consultancy Services Pvt Ltd,13137
COMTECHINFO SOLUTIONS PVT.LTD,30163
Indotech Engineering Products,5082
Deputy Commissioner  Longding,278
Om Softwares,418
